Report Number,Offense ID,Offense Start DateTime,Offense End DateTime,Report DateTime,Group A B,Crime Against Category,Offense Parent Group,Offense,Offense Code,Precinct,Sector,Beat,MCPP,100 Block Address,Longitude,Latitude
2023-900481,40195563000,01/07/2023 1:30:00 PM,01/07/2023 1:30:00 PM,01/08/2023 1:32:47 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,N,U,U2,UNIVERSITY,42XX BLOCK OF 11TH AVE NE,-122.3166363,47.65909623
2023-900484,40195564621,01/06/2023 1:40:00 PM,01/07/2023 12:45:00 AM,01/08/2023 1:33:01 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,N,B,B2,FREMONT,1XX BLOCK OF N 35TH ST,-122.3560719,47.65177074
2023-900483,40195565539,01/01/2023 2:04:00 PM,01/01/2023 2:23:00 PM,01/08/2023 1:33:12 PM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,N,L,L2,NORTHGATE,3XX BLOCK OF NE NORTHGATE WAY,-122.3246152,47.7086028
2023-900485,40195566244,01/07/2023 9:45:00 AM,01/07/2023 11:30:00 AM,01/08/2023 1:33:20 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,S,R,R3,HILLMAN CITY,S GRAHAM ST / 39TH AVE S,-122.2833411,47.54602126
2023-900487,40195593570,01/06/2023 6:30:00 PM,01/07/2023 6:30:00 AM,01/08/2023 1:42:44 PM,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,N,U,U1,ROOSEVELT/RAVENNA,80XX BLOCK OF RAVENNA AVE NE,-122.301678,47.68809313
2023-900490,40195594677,01/05/2023 5:00:00 PM,01/07/2023 3:00:00 PM,01/08/2023 1:43:03 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,K,K3,CHINATOWN/INTERNATIONAL DISTRICT,6XX BLOCK OF 5TH AVE S,-122.3276806,47.59665538
2023-900491,40195595570,01/06/2023 9:03:00 PM,01/07/2023 3:35:00 PM,01/08/2023 1:43:08 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,E,E,E3,CAPITOL HILL,6XX BLOCK OF E UNION ST,-122.323942,47.61298692
2023-900493,40195596347,01/06/2023 2:50:00 PM,01/06/2023 3:50:00 PM,01/08/2023 1:43:18 PM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,N,L,L1,LAKECITY,26XX BLOCK OF NE 125TH ST,-122.2999737,47.71930583
2023-900494,40195596632,01/07/2023 3:00:00 AM,01/07/2023 3:05:00 AM,01/08/2023 1:43:23 PM,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,SW,W,W1,NORTH ADMIRAL,33XX BLOCK OF 35TH AVE SW,-122.3760092,47.57379204
2023-900496,40195597155,01/07/2023 4:53:00 AM,01/07/2023 4:54:00 AM,01/08/2023 1:43:34 PM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,N,L,L3,SANDPOINT,115XX BLOCK OF RIVIERA PL NE,-122.2771738,47.71339922
2023-900497,40195597442,12/17/2022 8:30:00 PM,12/18/2022 1:35:00 AM,01/08/2023 1:43:38 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,S,O,O1,SODO,22XX BLOCK OF 6TH AVE S,-122.3259745,47.58293451
2023-900498,40195597711,01/07/2023 2:30:00 PM,01/07/2023 3:00:00 PM,01/08/2023 1:43:46 PM,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,N,N,N2,BITTERLAKE,132XX BLOCK OF LINDEN AVE N,-122.3479331,47.72503884
2023-007223,40197664222,11/02/2022 12:00:00 AM,01/08/2023 1:58:00 PM,01/08/2023 2:05:54 PM,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,N,U,U2,UNIVERSITY,42XX BLOCK OF BROOKLYN AVE NE,-122.3143439,47.65906879
2023-007323,40195875680,01/07/2023 10:00:00 PM,01/08/2023 7:00:00 AM,01/08/2023 2:37:16 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,Q,Q1,MAGNOLIA,39XX BLOCK OF W BRIARCLIFF LN,-122.4076452,47.64798845
2023-900500,40195774670,01/07/2023 3:00:00 PM,01/07/2023 4:00:00 PM,01/08/2023 2:42:44 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SW,W,W2,ALASKA JUNCTION,39XX BLOCK OF SW ALASKA ST,-122.3821296,47.56105512
2023-007381,40195788114,01/07/2023 8:00:00 PM,01/08/2023 5:00:00 AM,01/08/2023 2:42:49 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,N,J,J1,BALLARD NORTH,12XX BLOCK OF NW 92ND ST,-122.3720809,47.69606558
2023-900499,40195774986,12/10/2022 2:40:00 PM,12/10/2022 2:45:00 PM,01/08/2023 2:42:53 PM,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,S,R,R2,CLAREMONT/RAINIER VISTA,44XX BLOCK OF RAINIER AVE S,-122.288011,47.56345666
2023-007364,40195827201,01/06/2023 9:00:00 PM,01/07/2023 6:00:00 AM,01/08/2023 2:42:58 PM,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,N,B,B3,WALLINGFORD,16XX BLOCK OF N 49TH ST,-122.3384027,47.66429248
2023-900501,40195775329,01/03/2023 1:30:00 PM,01/06/2023 4:00:00 PM,01/08/2023 2:42:59 PM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,W,D,D3,SLU/CASCADE,2XX BLOCK OF MINOR AVE N,-122.3329831,47.62023779
2023-900502,40195776339,01/07/2023 1:00:00 PM,01/07/2023 3:00:00 PM,01/08/2023 2:43:05 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,M,M1,BELLTOWN,20XX BLOCK OF 1ST AVE,-122.3432623,47.61145275
2023-900503,40195776742,01/06/2023 4:55:00 PM,01/07/2023 9:55:00 AM,01/08/2023 2:43:14 PM,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,E,G,G3,JUDKINS PARK/NORTH BEACON HILL,16XX BLOCK OF S WELLER ST,-122.3102781,47.59748648
